"fire_type","state","year_or_period","area_000ha","data_type"
"planned","ACT","11_15",17,"period_total"
"unplanned","ACT","11_15",0,"period_total"
"planned","ACT","16_21",4,"period_total"
"unplanned","ACT","16_21",83,"period_total"
"planned","NSW","11_15",791,"period_total"
"unplanned","NSW","11_15",975,"period_total"
"planned","NSW","16_21",291,"period_total"
"unplanned","NSW","16_21",5344,"period_total"
"planned","NT","11_15",13166,"period_total"
"unplanned","NT","11_15",32399,"period_total"
"planned","NT","16_21",17104,"period_total"
"unplanned","NT","16_21",17614,"period_total"
"planned","Qld","11_15",13159,"period_total"
"unplanned","Qld","11_15",36743,"period_total"
"planned","Qld","16_21",7289,"period_total"
"unplanned","Qld","16_21",23034,"period_total"
"planned","SA","11_15",24,"period_total"
"unplanned","SA","11_15",279,"period_total"
"planned","SA","16_21",17,"period_total"
"unplanned","SA","16_21",200,"period_total"
"planned","Tas.","11_15",60,"period_total"
"unplanned","Tas.","11_15",147,"period_total"
"planned","Tas.","16_21",74,"period_total"
"unplanned","Tas.","16_21",160,"period_total"
"planned","Vic.","11_15",526,"period_total"
"unplanned","Vic.","11_15",498,"period_total"
"planned","Vic.","16_21",225,"period_total"
"unplanned","Vic.","16_21",1653,"period_total"
"planned","WA","11_15",5184,"period_total"
"unplanned","WA","11_15",1837,"period_total"
"planned","WA","16_21",1871,"period_total"
"unplanned","WA","16_21",2463,"period_total"
"Unplanned","ACT","2",0,"annual"
"Unplanned","ACT","3",0.1,"annual"
"Unplanned","ACT","4",0.2,"annual"
"Unplanned","ACT","5",82,"annual"
"Unplanned","ACT","6",0,"annual"
"Unplanned","ACT","7",83,"annual"
"Unplanned","ACT","8",0.002,"annual"
"Unplanned","NSW","2",168,"annual"
"Unplanned","NSW","3",22,"annual"
"Unplanned","NSW","4",230,"annual"
"Unplanned","NSW","5",4912,"annual"
"Unplanned","NSW","6",12,"annual"
"Unplanned","NSW","7",5344,"annual"
"Unplanned","NSW","8",0.11,"annual"
"Unplanned","NT","2",1798,"annual"
"Unplanned","NT","3",3645,"annual"
"Unplanned","NT","4",4936,"annual"
"Unplanned","NT","5",4567,"annual"
"Unplanned","NT","6",2668,"annual"
"Unplanned","NT","7",17614,"annual"
"Unplanned","NT","8",0.35,"annual"
"Unplanned","Qld","2",6272,"annual"
"Unplanned","Qld","3",4421,"annual"
"Unplanned","Qld","4",4860,"annual"
"Unplanned","Qld","5",4384,"annual"
"Unplanned","Qld","6",3097,"annual"
"Unplanned","Qld","7",23034,"annual"
"Unplanned","Qld","8",0.46,"annual"
"Unplanned","SA","2",14,"annual"
"Unplanned","SA","3",6,"annual"
"Unplanned","SA","4",3,"annual"
"Unplanned","SA","5",171,"annual"
